product_id,category,subcategory,brand,rating,ratings_count,initial_price,discount,final_price,return&exchange,try&buy,1_star,2_star,3_star,4_star,5_star,fit,transparency,comfort,stretch,length,is_best_offer,is_more_offer,best_offer,more_offers,what_customers_said
17754514,Clothing,kurta-sets,IndoEra,4.1,91,"$6,799",75,"$1,699",Both,FALSE,0,0,0,6,26,JustRight,Medium,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.1299(onlyonfirstpurchase)"",""best_price"":""1399"",""coupon_code"":""MYNTRA300"",""coupon_discount"":""Rs.300.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000.""]","percentage:43,value_name:Fit,JustRight,percentage:40,value_name:Length,JustRight,percentage:60,value_name:Transparency,Medium"
17313952,Clothing,shirts,KETCH,3.9,101,$999,55,$369,Both,TRUE,22,0,0,8,2,JustRight,None,None,None,None,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.449(onlyonfirstpurchase)"",""best_price"":""246"",""coupon_code"":""TOPundergarmentsNDOFFER"",""coupon_discount"":""Rs.123.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.18/month""]","percentage:75,value_name:Fit,JustRight,percentage:43,value_name:Length,JustRight"
18637234,Clothing,kurtas,HouseofPataudi,4.2,85,"$2,499",,"$2,499",Both,TRUE,0,12,21,57,182,JustRight,Medium,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000.""]","percentage:63,value_name:Fit,JustRight,percentage:86,value_name:Length,JustRight,percentage:57,value_name:Transparency,Medium"
19298764,Footwear,sports-shoes,Campus,4.6,71,"$1,299",10,$909,Both,TRUE,6,0,0,4,5,None,None,None,None,None,TRUE,TRUE,"{""applicable_on"":""Orders above Rs. 1099 (only on first purchase)"",""best_price"":""620"",""coupon_code"":""TOPundergarmentsNDOFFER"",""coupon_discount"":"" Rs. 289.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""},{""offer_name"":""EMI option available"",""offer_value"":""EMI starting from Rs.43/month""}]",
19020358,Clothing,jackets,U.S.PoloAssn.,3.5,125,"$5,799",50,"$2,899",None,FALSE,3,2,0,6,21,JustRight,None,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""Purchaseof3ormoreitems(onlyonfirstpurchase)"",""best_price"":""2399"",""coupon_code"":""SHOPEXTRA"",""coupon_discount"":""20.0%offuptoRs.500.0(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.136/month""]","percentage:60,value_name:Fit,JustRight,percentage:89,value_name:Length,JustRight,percentage:45,value_name:Thickness,Thin"
19264534,Clothing,tshirts,FlyingMachine,4,102,$999,61,$389,Both,TRUE,1,0,4,7,19,JustRight,None,None,None,None,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.649(onlyonfirstpurchase)"",""best_price"":""269"",""coupon_code"":""MYNTRA200"",""coupon_discount"":""Rs.120.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.19/month""]","percentage:67,value_name:Fit,JustRight,percentage:80,value_name:Length,JustRight"
19020572,Clothing,jackets,U.S.PoloAssn.,4,95,"$5,499",40,"$2,749",None,FALSE,0,0,0,4,3,JustRight,None,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""Purchaseof3ormoreitems(onlyonfirstpurchase)"",""best_price"":""2249"",""coupon_code"":""SHOPEXTRA"",""coupon_discount"":""20.0%offuptoRs.500.0(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.129/month""]","percentage:56,value_name:Fit,JustRight,percentage:67,value_name:Length,JustRight,percentage:56,value_name:Thickness,Medium"
19020536,Clothing,jackets,U.S.PoloAssn.,4.1,91,"$6,999",50,"$3,499",None,FALSE,1,0,1,0,3,JustRight,None,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""Purchaseof2ormoreitems(onlyonfirstpurchase)"",""best_price"":""2999"",""coupon_code"":""SHOPEXTRA"",""coupon_discount"":""15.0%offuptoRs.500.0(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.164/month""]","percentage:60,value_name:Fit,JustRight,percentage:67,value_name:Length,JustRight,percentage:38,value_name:Thickness,Medium"
14519404,Clothing,shirts,TheIndianGarageCo,3.9,117,"$1,749",74,$489,Both,TRUE,2,0,1,3,2,JustRight,None,None,None,None,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.749(onlyonfirstpurchase)"",""best_price"":""326"",""coupon_code"":""TOPundergarmentsNDOFFER"",""coupon_discount"":""Rs.163.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.23/month""]","percentage:100,value_name:Fit,JustRight,percentage:83,value_name:Length,JustRight"
17253026,Clothing,tops,Athena,3.9,113,"$1,699",70,$509,Both,TRUE,1,0,2,4,22,JustRight,Medium,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.649(onlyonfirstpurchase)"",""best_price"":""352"",""coupon_code"":""MYNTRA200"",""coupon_discount"":""Rs.157.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends.""]","percentage:100,value_name:Fit,JustRight,percentage:100,value_name:Length,JustRight,percentage:57,value_name:Transparency,Medium"
